component_id,count,mean,min,max
6561,18,1.000000,1.000000,1.000000
6557,4,1.000000,1.000000,1.000000
6556,4,0.971193,0.971193,0.971193
6554,4,1.000000,1.000000,1.000000
6548,4,0.981660,0.981660,0.981660
6533,4,1.000000,1.000000,1.000000
6532,4,1.000000,1.000000,1.000000
6526,4,0.965773,0.965773,0.965773
6519,12,1.000000,1.000000,1.000000
6507,4,1.000000,1.000000,1.000000
6492,12,0.972811,0.969218,0.974630
6481,4,0.995998,0.995998,0.995998
6475,40,0.972142,0.962316,0.983128
6474,4,1.000000,1.000000,1.000000
6469,26,0.997383,0.982988,1.000000
6468,54,1.000000,1.000000,1.000000
6467,12,0.976113,0.970120,0.986138
6462,4,1.000000,1.000000,1.000000
6448,4,1.000000,1.000000,1.000000
6431,14,0.977376,0.961641,0.991391
6430,4,1.000000,1.000000,1.000000
6427,8,0.966045,0.960629,0.971461
6423,4,1.000000,1.000000,1.000000
6414,4,1.000000,1.000000,1.000000
6411,4,1.000000,1.000000,1.000000
6406,20,0.997299,0.995878,0.998757
6402,4,0.966936,0.966936,0.966936
6394,4,1.000000,1.000000,1.000000
6391,4,1.000000,1.000000,1.000000
6359,4,0.968856,0.968856,0.968856
6337,12,0.994586,0.991960,0.997998
6331,4,1.000000,1.000000,1.000000
6319,8,0.980156,0.962458,0.997855
6309,24,0.993272,0.987511,0.997225
6307,64,0.979719,0.966908,0.989356
6291,4,1.000000,1.000000,1.000000
6288,4,0.971673,0.971673,0.971673
6252,4,0.966409,0.966409,0.966409
6247,4,1.000000,1.000000,1.000000
6244,12,1.000000,1.000000,1.000000
6239,12,0.981364,0.970348,0.997227
6219,8,0.978882,0.963399,0.994365
6217,4,0.998764,0.998764,0.998764
6210,16,0.989257,0.978514,1.000000
6206,4,0.986736,0.986736,0.986736
6191,60,1.000000,1.000000,1.000000
6187,4,0.994734,0.994734,0.994734
6185,22,0.982316,0.963535,0.996299
6160,12,0.994831,0.992247,1.000000
6143,4,1.000000,1.000000,1.000000
6125,360,1.000000,1.000000,1.000000
6122,4,1.000000,1.000000,1.000000
6099,4,0.989426,0.989426,0.989426
6094,20,0.971954,0.962538,0.982245
6080,4,0.964447,0.964447,0.964447
6059,4,0.997100,0.997100,0.997100
6058,4,1.000000,1.000000,1.000000
6046,4,1.000000,1.000000,1.000000
6027,4,0.992876,0.992876,0.992876
